model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  CM 201,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8020201 Flush cock lever type,Flush cock lever type 25 mm (1″),"Rs. 3,910",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-201-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 301,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8020301 Flush cock push type,Flush cock push type 25 mm (1″),"Rs. 3,280",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-301Flush-cock-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F2004753,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F2004753 Flush cock half turn,"Exposed part for flush cock half turn 25 mm (1”) consisting of operating lever, cartridge sleeve and wall flange (suitable for F4060101)",Rs. 735,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CQ-452E-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 102,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010101 Flush valve push type single flow,Flush valve concealed push type (single flow) 40 mm (1.5”),"Rs. 4,650",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-102.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 102S,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010102 Flush valve push type single flow,Flush valve concealed push type (single flow) 40 mm (1.5”),"Rs. 4,650",,,,https://www.cera-india.com/wp-content/uploads/2016/06/CM-102S.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 202S,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010202 Flush valve push type dual flush,Flush valve concealed push type (dual flush) 40 mm (1.5”),"Rs. 5,135",,,,https://www.cera-india.com/wp-content/uploads/2016/06/CM-202S.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 302,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010103 Flush valve push type single flow,Flush valve concealed push type (single flush) 32 mm (1.25”),"Rs. 4,100",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-302-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 302S,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010104 Flush valve push type single flow,Flush valve concealed push type (single flow) 32 mm (1.25”),"Rs. 4,100",,,,https://www.cera-india.com/wp-content/uploads/2016/06/CM-302S.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 401A,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010301 Flush valve exposed type,Flush valve concealed push type (single flow) 25 mm (1”),"Rs. 6,370",,,,https://www.cera-india.com/wp-content/uploads/2016/06/CM-401A.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 402,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010203 Flush valve push type dual flush,Flush valve concealed push type (dual flush) 32 mm (1.25″),"Rs. 4,975",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-402-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 402S,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010105 Flush valve push type single flow,Flush valve concealed push type (single flow) 32 mm (1.25”),"Rs. 4,975",,,,https://www.cera-india.com/wp-content/uploads/2016/06/CM-402S.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 502,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010106 Flush valve push type single flow,Flush valve concealed push type (single flow) 25 mm (1”),"Rs. 4,950",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-502-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 502S,sanitary,sanitary,fittings,flush valve,cera,CERA Other Allied Products - F8010107 Flush valve push type single flow,Flush valve concealed push type (single flow) 25 mm (1”),"Rs. 4,950",,,,https://www.cera-india.com/wp-content/uploads/2016/06/CM-502S.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 108,sanitary,sanitary,fittings,angled valve,cera,CERA Other Allied Products - F8040201 Angle cock,Angle cock with wall flange,Rs. 640,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-108-Angle-cock-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 108B,sanitary,sanitary,fittings,angled valve,cera,CERA Other Allied Products - F8040203 Angle cock,Angle cock with wall flange,Rs. 640,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-108B-Angle-cock-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 108C,sanitary,sanitary,fittings,angled valve,cera,CERA Other Allied Products - F8040204 Angle cock,Angle cock with wall flange,Rs. 640,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-108C-Angle-cock-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 109,sanitary,sanitary,fittings,angled valve,cera,CERA Other Allied Products - F8040205 Angle cock,Angle cock with wall flange,Rs. 640,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-109-Angle-cock-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 104,sanitary,sanitary,fittings,bottle traps,cera,CERA Cera Auxiliaries - F8060101   Bottle trap,Bottle trap 150 mm (6”),"Rs. 1,830",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-104-Bottle-trap-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 104A,sanitary,sanitary,fittings,bottle traps,cera,CERA Cera Auxiliaries - F8060301Bottle trap,Bottle trap 228 mm (9”),"Rs. 2,020",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-104A-Bottle-trap-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 104B,sanitary,sanitary,fittings,bottle traps,cera,CERA Cera Auxiliaries - F8060401 Bottle trap,Bottle trap 300 mm (12”),"Rs. 2,130",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-104B-Bottle-trap-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 103,sanitary,sanitary,fittings,waste coupling,cera,CERA Cera Auxiliaries - F8050101Â Waste coupling full thread,Waste coupling (full thread) 32 mm,Rs. 600,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-103-Waste-coupling-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 113,bathroom and kitchen fittings,sanitary,fittings,waste coupling,cera,CERA Cera Auxiliaries - F8050301 Waste coupling full thread,Waste coupling (full thread) 32 mm with 125 mm length,"Rs. 1,000",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-113-Waste-coupling-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 203,bathroom and kitchen fittings,sanitary,fittings,waste coupling,cera,CERA Cera Auxiliaries - F8050102 Waste coupling half thread,Waste coupling (half thread) 32 mm,Rs. 600,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-203-Waste-coupling-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 303C,bathroom and kitchen fittings,sanitary,fittings,waste coupling,cera,CERA Cera Auxiliaries - F8050351 Waste coupling with ceramic pop-up,Waste coupling with ceramic pop-up push type (full thread) 32 mm,"Rs. 1,410",,,,https://www.cera-india.com/wp-content/uploads/2016/06/CM-303C.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 422A,bathroom and kitchen fittings,sanitary,fittings,waste coupling,cera,CERA Cera Auxiliaries - F8050501 Waste coupling for bath tub,Waste coupling with pop-up for bath tub,"Rs. 2,130",,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-422A-Waste-coupling-with-pop-up-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8070301,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Cera Auxiliaries - F8070301 Extension nipple 25 mm,25 mm (1”) Extension nipple 15 mm dia (1/2”),Rs. 125,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-107-Extension-nipple-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8070302,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Cera Auxiliaries - F8070302 Extension nipple 35 mm,35 mm (1.5”),Rs. 175,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-107-Extension-nipple-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 107C,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Cera Auxiliaries - F8070304 Extension nipple 65 mm,65 mm (2.5”) Extension nipple 15 mm dia (1/2”),Rs. 290,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-107-Extension-nipple-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 107D,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Cera Auxiliaries - F8070305 Extension nipple 75 mm,75 mm (3”) Extension nipple 15 mm dia (1/2”),Rs. 335,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-107-Extension-nipple-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 107E,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Cera Auxiliaries - F8070306 Extension nipple 100 mm,100 mm (4”) Extension nipple 15 mm dia (1/2”),Rs. 415,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-107-Extension-nipple-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CM 107F,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Cera Auxiliaries - F8070307 Extension nipple 150 mm,150 mm (6”) Extension nipple 15 mm dia (1/2”),Rs. 615,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CM-107-Extension-nipple-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 103,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Faucets - F8070101Hand shower holder,Hand shower holder,Rs. 350,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-103-Hand-shower-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 103A,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Faucets - F8070102  Brass shower hook,Brass shower hook,Rs. 585,,,,https://www.cera-india.com/wp-content/uploads/2016/06/CG-103A.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 104,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Faucets - F8070401 Flexible stainless steel hose,1.5 metre flexible stainless steel hose,"Rs. 1,065",,,,https://www.cera-india.com/wp-content/uploads/2016/06/CG-104-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8070402,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Faucets - F8070402 Polyamid braided connection pipe,"Polyamid braided connection pipe 12 mm dia, 450 mm length (2 Piece set)",Rs. 335,,,,https://www.cera-india.com/wp-content/uploads/2016/06/CG-107.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8070403,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Faucets - F8070403 Geyser Connection Pipe,"Geyser Connection Pipe 12 mm dia, 450 mm length (2 Piece Set)",Rs. 345,,,,https://www.cera-india.com/wp-content/uploads/2016/06/CG-107A.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F8070201,bathroom and kitchen fittings,sanitary,fittings,other auxillaries,cera,CERA Faucets - Urinal spreader,Urinal spreader,Rs. 810,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-501-Urinal-spreader-2-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,